Name;Type(s);Height;Weight;Abilities;Sprite Link;Official Art Link;Total Base Stats;Habitat;Color;Is Legendary;Is Mythical;HP;Attack;Defense;Special Attack;Special Defense;Speed;No Damage From;Quarter Damage From;Half Damage From;Normal Damage From;Double Damage From;Quadruple Damage From;Previous Evolution;Upcoming Evolution
metapod;bug;0.7 m;9.9 kg;shed-skin;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png;205;forest;green;false;false;50;20;55;25;25;30;None;None;fighting,ground,grass;normal,poison,bug,ghost,steel,water,electric,psychic,ice,dragon,dark,fairy;flying,rock,fire;None;caterpie;butterfree
butterfree;bug,flying;1.1 m;32 kg;compound-eyes or tinted-lens;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png;395;forest;white;false;false;60;45;50;90;80;70;ground;fighting,grass;bug;normal,poison,ghost,steel,water,psychic,dragon,dark,fairy;flying,fire,electric,ice;rock;metapod;None
weedle;bug,poison;0.3 m;3.2 kg;shield-dust or run-away;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png;195;forest;brown;false;false;40;35;30;20;20;50;None;fighting,grass;poison,bug,fairy;normal,ghost,steel,water,electric,ice,dragon,dark;flying,rock,fire,psychic;None;None;kakuna
kakuna;bug,poison;0.6 m;10 kg;shed-skin;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png;205;forest;yellow;false;false;45;25;50;25;25;35;None;fighting,grass;poison,bug,fairy;normal,ghost,steel,water,electric,ice,dragon,dark;flying,rock,fire,psychic;None;weedle;beedrill
beedrill;bug,poison;1 m;29.5 kg;swarm or sniper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png;395;forest;yellow;false;false;65;90;40;45;80;75;None;fighting,grass;poison,bug,fairy;normal,ghost,steel,water,electric,ice,dragon,dark;flying,rock,fire,psychic;None;kakuna;None
pidgey;normal,flying;0.3 m;1.8 kg;keen-eye or tangled-feet or big-pecks;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png;251;forest;brown;false;false;40;45;40;35;35;56;ghost,ground;None;bug,grass;normal,flying,poison,steel,fire,water,psychic,dragon,dark,fairy;rock,electric,ice;None;None;pidgeotto
pidgeotto;normal,flying;1.1 m;30 kg;keen-eye or tangled-feet or big-pecks;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png;349;forest;brown;false;false;63;60;55;50;50;71;ghost,ground;None;bug,grass;normal,flying,poison,steel,fire,water,psychic,dragon,dark,fairy;rock,electric,ice;None;pidgey;pidgeot
pidgeot;normal,flying;1.5 m;39.5 kg;keen-eye or tangled-feet or big-pecks;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png;479;forest;brown;false;false;83;80;75;70;70;101;ghost,ground;None;bug,grass;normal,flying,poison,steel,fire,water,psychic,dragon,dark,fairy;rock,electric,ice;None;pidgeotto;None
rattata;normal;0.3 m;3.5 kg;run-away or guts or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png;253;grassland;purple;false;false;30;56;35;25;35;72;ghost;None;None;normal,flying,poison,ground,rock,bug,steel,fire,water,grass,electric,psychic,ice,dragon,dark,fairy;fighting;None;None;raticate
raticate;normal;0.7 m;18.5 kg;run-away or guts or hustle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png;413;grassland;brown;false;false;55;81;60;50;70;97;ghost;None;None;normal,flying,poison,ground,rock,bug,steel,fire,water,grass,electric,psychic,ice,dragon,dark,fairy;fighting;None;rattata;None
